community_id,members,size,avg_edge_weight,density,avg_fraud_risk,suspicion_score,flagged_as_ring
60,"[216, 171, 68]",3,1.0,1.0,0.5585,0.5475,1
4,"[178, 292, 261, 88, 169, 298, 142, 79]",8,1.0,1.0,0.4947,0.5284,1
72,"[304, 371, 396]",3,1.0,1.0,0.4934,0.528,1
74,"[33, 97]",2,1.0,1.0,0.4925,0.5277,0
67,"[202, 211, 338]",3,1.0,1.0,0.4822,0.5247,1
2,"[192, 233, 331, 365, 145, 83, 120, 189, 223]",9,1.0,1.0,0.476,0.5228,1
55,"[392, 258, 204, 38]",4,1.0,1.0,0.4744,0.5223,1
53,"[256, 386, 325, 86]",4,1.0,1.0,0.4708,0.5213,1
48,"[136, 272, 150, 47]",4,1.0,1.0,0.4708,0.5212,1
10,"[288, 210, 340, 390, 9, 314, 61, 238]",8,1.0,1.0,0.4662,0.5199,1
73,"[186, 234, 398]",3,1.0,1.0,0.4545,0.5164,1
30,"[66, 308, 106, 27, 253]",5,1.0,1.0,0.4359,0.5108,1
69,"[197, 5, 350]",3,1.0,1.0,0.433,0.5099,1
77,"[77, 303]",2,1.0,1.0,0.424,0.5072,0
25,"[257, 116, 69, 297, 378, 159]",6,1.0,1.0,0.3954,0.4986,1
51,"[208, 49, 348, 293]",4,1.0,1.0,0.3902,0.4971,1
59,"[177, 125, 54]",3,1.0,1.0,0.3866,0.496,1
38,"[259, 100, 328, 377, 203]",5,1.0,1.0,0.3845,0.4953,1
19,"[305, 147, 227, 23, 152, 105]",6,1.0,1.0,0.3803,0.4941,1
76,"[133, 191]",2,1.0,1.0,0.367,0.4901,0
70,"[248, 379, 95]",3,1.0,1.0,0.3665,0.49,1
24,"[18, 82, 356, 357, 72, 367]",6,1.0,1.0,0.3632,0.489,1
8,"[352, 363, 134, 198, 104, 362, 91, 110]",8,1.0,1.0,0.3589,0.4877,1
39,"[225, 56, 123, 380, 184]",5,1.0,1.0,0.3583,0.4875,1
44,"[180, 12, 214, 14]",4,1.0,1.0,0.3491,0.4847,1
32,"[16, 181, 332, 268, 143]",5,1.0,1.0,0.3473,0.4842,1
28,"[242, 8, 73, 92, 157]",5,1.0,1.0,0.3416,0.4825,1
9,"[96, 383, 230, 375, 344, 345, 172, 76]",8,1.0,1.0,0.3386,0.4816,1
1,"[67, 291, 355, 102, 337, 274, 251, 188, 29]",9,1.0,1.0,0.3347,0.4804,1
23,"[207, 339, 90, 282, 156, 255]",6,1.0,1.0,0.3326,0.4798,1
36,"[64, 196, 373, 119, 141]",5,1.0,1.0,0.3234,0.477,1
11,"[228, 252, 284, 215, 137, 124, 271]",7,1.0,1.0,0.3126,0.4738,1
7,"[321, 130, 353, 278, 359, 232, 109, 302]",8,1.0,1.0,0.308,0.4724,1
61,"[34, 42, 262]",3,1.0,1.0,0.3029,0.4709,1
68,"[24, 347, 151]",3,1.0,1.0,0.2906,0.4672,1
43,"[179, 19, 53, 182, 399]",5,1.0,1.0,0.2858,0.4657,1
18,"[240, 166, 46, 74, 13, 62]",6,1.0,1.0,0.2841,0.4652,1
41,"[1, 388, 218, 154, 60]",5,1.0,1.0,0.2819,0.4646,1
34,"[224, 246, 342, 264, 316]",5,1.0,1.0,0.2777,0.4633,1
16,"[381, 20, 294, 199, 167, 221, 254]",7,1.0,1.0,0.2769,0.4631,1
35,"[112, 260, 39, 361, 236]",5,1.0,1.0,0.2754,0.4626,1
0,"[99, 138, 250, 267, 81, 85, 118, 55, 26, 59]",10,1.0,1.0,0.2739,0.4622,1
27,"[87, 75, 139, 93, 222]",5,1.0,1.0,0.2724,0.4617,1
3,"[354, 35, 185, 7, 394, 51, 148, 311, 313]",9,1.0,1.0,0.2651,0.4595,1
6,"[2, 239, 165, 358, 135, 312, 44, 31]",8,1.0,1.0,0.2509,0.4553,1
33,"[336, 309, 295, 329, 266]",5,1.0,1.0,0.2469,0.4541,1
14,"[129, 226, 195, 370, 372, 70, 219]",7,1.0,1.0,0.2353,0.4506,1
63,"[161, 209, 277]",3,1.0,1.0,0.2347,0.4504,1
56,"[281, 170, 393, 6]",4,1.0,1.0,0.2343,0.4503,1
64,"[310, 101, 286]",3,1.0,1.0,0.2303,0.4491,0
15,"[162, 4, 103, 376, 122, 366, 127]",7,1.0,1.0,0.2299,0.449,0
13,"[368, 113, 290, 275, 52, 25, 235]",7,1.0,1.0,0.2287,0.4486,0
66,"[330, 187, 213]",3,1.0,1.0,0.2272,0.4482,0
40,"[369, 382, 164, 326, 334]",5,1.0,1.0,0.2258,0.4478,0
37,"[306, 374, 217, 107, 335]",5,1.0,1.0,0.2253,0.4476,0
46,"[40, 241, 36, 200]",4,1.0,1.0,0.2208,0.4463,0
26,"[194, 114, 387, 149, 341, 301]",6,1.0,1.0,0.2185,0.4456,0
12,"[17, 117, 263, 346, 349, 94, 351]",7,1.0,1.0,0.2169,0.4451,0
52,"[360, 65, 45, 287]",4,1.0,1.0,0.2124,0.4437,0
17,"[322, 115, 84, 244, 280, 269, 397]",7,1.0,1.0,0.2082,0.4424,0
29,"[163, 279, 168, 249, 111]",5,1.0,1.0,0.2059,0.4418,0
5,"[131, 307, 296, 153, 10, 108, 28, 206]",8,1.0,1.0,0.2001,0.44,0
62,"[276, 140, 173]",3,1.0,1.0,0.1991,0.4397,0
42,"[21, 389, 343, 190, 15]",5,1.0,1.0,0.1957,0.4387,0
31,"[318, 50, 146, 11, 30]",5,1.0,1.0,0.195,0.4385,0
78,"[289, 364]",2,1.0,1.0,0.1893,0.4368,0
21,"[320, 201, 57, 43, 317, 174]",6,1.0,1.0,0.1868,0.436,0
65,"[273, 78, 327]",3,1.0,1.0,0.1856,0.4357,0
20,"[193, 121, 315, 285, 158, 270]",6,1.0,1.0,0.1807,0.4342,0
58,"[80, 299, 3, 400]",4,1.0,1.0,0.175,0.4325,0
47,"[48, 243, 220, 237]",4,1.0,1.0,0.1747,0.4324,0
22,"[144, 132, 324, 265, 283, 63]",6,1.0,1.0,0.1714,0.4314,0
45,"[32, 229, 126, 176]",4,1.0,1.0,0.1626,0.4288,0
50,"[245, 323, 212, 205]",4,1.0,1.0,0.1569,0.4271,0
75,"[160, 71]",2,1.0,1.0,0.1407,0.4222,0
49,"[41, 300, 319, 247]",4,1.0,1.0,0.0965,0.409,0
57,"[384, 395, 333, 231]",4,1.0,1.0,0.0938,0.4081,0
54,"[391, 98, 155, 175]",4,1.0,1.0,0.0916,0.4075,0
71,"[385, 58, 22]",3,1.0,1.0,0.0664,0.3999,0
